#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,TTL: Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,USA: United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TTL_C01T05: Agriculture, hunting, forestry and fishing",,69955.1,134.9,184482.3,470,8036,4852.5,24,6718.2,3030.6,8.1,8.2,8.8,8.1,6.5,15.9,23.2,4.3,635.7,6.2,1326.4,4317.2,6048.1,70.6,118,41.7,175.2,8.2,14.6,1119.7,2878.2,673.5,518.6,380,0,81329.9,191.8,0,596.7,-8322.9,132,32.3,61360.4,-32873
TTL_C10T14: Mining and quarrying,,3410.3,80092.2,2025.6,101.7,56.3,3398.9,438255.6,19245.1,349.4,11059.6,37669.5,643.6,404.2,82.8,220.2,325.5,282.6,344.4,34094.9,17628,874.3,1212.3,7371,345.2,223.7,7595.7,378,150.9,2285.6,32124.3,724.7,1182.1,2540.4,0,11946.2,0,0,10366.4,-1909.2,74.1,149.4,32672.3,-263477.4
"TTL_C15T16: Food products, beverages and tobacco",,21508.3,145.4,116549.4,522.4,65.7,1908.9,425.6,4571.4,343.1,76.5,112.7,105.2,110.6,81.8,39.2,202.3,67.9,117.4,42.8,255.4,5330.9,61563.9,547,113.8,214.4,225.7,34.1,90.8,1358.8,26182.2,18354.9,12752.5,3743.6,0,540663.6,0,0,666.8,-1339.4,4525.7,5935,60043.9,-70027.6
"TTL_C17T19: Textiles, textile products, leather and footwear",,257.8,54.8,235.3,6058.5,337.2,3649.3,107.7,750.6,1551.9,228.5,46.3,44.2,583.7,37.3,20.5,3797,406.4,2909,13,862.3,4281.6,609.9,151.8,177.6,62.6,105.2,89.9,32.5,563.4,2638.6,140.2,2355.5,1987.5,0,119677.7,0,0,273.4,-4210.3,5047,10118.8,13147,-109269.7
TTL_C20: Wood and products of wood and cork,,554.2,111.7,368.4,46.5,11530.2,5803.4,21.1,319.8,812.3,229.1,337.3,177.8,559.9,209.1,170.9,1737.9,187.6,5532.7,3.5,19252,2811.9,3360.5,1208,486.9,109.5,3279.5,591.1,1499,918,2946.4,229.2,1032,578.6,0,4571.1,0,0,349.8,308.9,37.2,11.9,5142.2,-10652.3
"TTL_C21T22: Pulp, paper, paper products, printing and publishing",,545.5,1275.6,21397.2,727.2,552,110508.3,480.9,7022.5,4249.9,1395.6,2177.6,2602.7,2290,1637.7,1024.4,3198,1481.1,3455.6,476.8,3882.9,30135.8,10179,4104.2,3138.6,20481.6,5880.8,1377.2,6015.2,30008.8,37762.1,7328.7,19308.8,9367.4,0,131613.8,14.3,888.9,31678.8,212.2,71.7,289.5,69539,-27286.5
"TTL_C23: Coke, refined petroleum products and nuclear fuel",,19975.2,9037.7,3655.1,501.7,602.8,6630.3,13308.3,26446.1,2761.3,1029.1,2725.7,1407.8,1558.2,493.5,1093.3,881.5,579.3,1171,6224.2,48298.6,9065.1,5301.8,100137.6,527.3,2227.6,1943.6,747.4,530.1,7469.6,125831.7,3021.1,9812.4,6373.7,0,303869.7,0,0,252.9,-3005.7,2165.6,3869.8,115382.4,-91463.9
TTL_C24: Chemicals and chemical products,,14374,6416.2,6605.4,8510.8,1436,18315,5958.8,172304,39600.6,3127.7,2054.3,5448.8,3274.7,3527.5,2017.1,5470,1674.9,6417.3,1335,6857.9,6026.2,2513.6,2003.7,2111.3,2116,6034.4,349.7,1049.8,17741.1,21610.9,2348.5,43995.4,6396.4,0,236683.1,0.1,0,4860.9,-953.3,2834.1,4566.4,169941.7,-168072.5
TTL_C25: Rubber and plastics products,,1515.4,1904.2,16078.3,405.4,442.3,4188,226.5,8161.6,12661.6,867.9,972.8,1862.6,6064.6,1916,1168.5,18009.7,2675.8,7133.6,65.7,15452.5,15293.7,7704.7,4571.1,2437.7,1431.1,924.6,724,698.3,5589.6,10175.5,3305.5,11111.5,5638.5,0,36418.7,0,0,966.5,663,115.5,149.3,27192.7,-49318.4
TTL_C26: Other non-metallic mineral products,,69.7,1065,3794.6,136.9,554.8,394.1,682.8,1271.4,1027.8,8118.5,2780.4,908.5,1334.5,426.9,1112,4399.1,338.7,757.7,107.7,33591,1182.4,4053.3,167.1,888.1,116.6,621.4,146,1044.3,3315,2902.7,379,3082.9,1087.5,0,11682.5,0,0,675.5,455.4,31.8,50.1,9183.9,-15810.3
TTL_C27: Basic metals,,196,6127.2,5485.4,288.2,400.7,764.2,1223.9,943.9,2001.4,1036.3,101667.6,69878.2,31565.9,6602.3,19278.1,37326.1,13154.1,12328.3,97,7220.2,2991.8,720.7,2068.6,487.1,71.6,1967.1,418.4,452.4,3226.1,1902.4,405.2,850.6,2218.5,0,3329.2,0.1,0,614.3,8344.8,64.5,57.5,41455.3,-102413.1
TTL_C28: Fabricated metal products,,1982.5,4156.5,13545.4,521.5,1722.2,7953.1,345,7243.8,4898.7,2013.1,7056,28882.2,21790.7,7040.3,6447.7,27292.6,11107.9,6504,242.9,49933.5,4305.9,8541.9,5688.3,8639.6,477.6,1920.2,730.9,2743.9,7180.9,13272.8,1519.9,2629.5,6236.9,0,19723.3,5.3,0,7336.6,3979.5,152.6,107,34407.5,-43417
"TTL_C29: Machinery and equipment, nec",,6292.6,26275.2,5858,95.8,657.8,5217.6,406.3,7220.1,3011.1,568.9,3675.1,5907.2,48666.9,1368.1,3153.5,35267,7857.5,2612.2,1170.9,38718,6543.2,3645.6,4027.5,2266.4,695,3417.3,772.6,1934.3,11382.6,10409.4,12583.7,2934.5,13494.6,0,20618.8,0,0,34629.3,16725.4,1591.2,2732.1,132957.8,-159568.1
"TTL_C30T33X: Computer, Electronic and optical equipment",,169.4,763,3385.2,522.2,510.8,9074.8,401.1,4903.6,1846.4,997.9,2592.8,3776.4,6801.3,37581.3,3453.8,14286.7,16855.6,3257.7,245.5,7420.9,14650.7,2171.7,1194.6,40287,7252,2232.1,598.6,8855.6,21021.3,28521.3,2858,6314.1,6983.7,0,103029,0.6,0,128147.2,8570.6,2420.1,7712.9,186485.4,-366192.5
"TTL_C31: Electrical machinery and apparatus, nec",,415.4,237.1,1013.9,51.7,372.6,669.4,94,863.7,640.2,135.6,2190.3,1684.2,8030.3,3289.6,5794.7,3427.8,2649.9,951.3,40.2,21552.9,1312.5,2451,837.2,2657.2,286.1,564.6,221.5,1089.9,5507.5,4902.9,1972.8,1052.4,2496.3,0,38726,0,0,31875.5,2870.6,129.4,97.9,40394.6,-86280.3
"TTL_C34: Motor vehicles, trailers and semi-trailers",,684.2,1377.7,2346.9,92.8,343.6,1688.3,125.7,1115.4,422,396.9,836.7,1163.4,8853.9,744.4,339.4,126525,3603.9,760.5,81.7,6564.2,15370.5,1277,8257,849.9,1002.7,680.1,710.1,299.2,5875.9,13287.4,2900.1,2196.8,17265.4,0,220664.3,0,0,87752.2,3642.4,123.5,485.5,102972.6,-198521.6
TTL_C35: Other transport equipment,,92,370.4,395.6,46.8,53.7,446,91.3,437.5,115.2,55.3,146.8,293.7,760.2,256.5,101.5,829.7,36538.5,167.3,75.6,752.8,1893.1,595.8,4074.7,517.6,1354.9,1179.7,147.7,492.8,2861.7,17933.5,399.8,1285.8,1207.9,0,15715.2,0,0,83755.3,2414.5,51.8,51.2,93438.7,-39041.5
