#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,TTL: Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,USA: United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TTL_C01T05: Agriculture, hunting, forestry and fishing",,39400.8,54.6,94242.5,2613.8,8220.3,3056.4,3.7,2751.9,927.8,9.2,8.2,11.2,22,19.6,11.7,54.9,8.2,358.1,2.8,1043.2,4226.7,3039.1,38.6,51.7,23.9,243.6,4.1,6.5,345.7,1296.4,493.4,160.8,266.7,0,42004,80.6,0,206.2,-949.1,65.3,14.8,27830.1,-13374.5
TTL_C10T14: Mining and quarrying,,774.8,13253.7,720.7,147.8,26.1,1111.4,76945.4,7035.9,192.2,3583,10531,154.7,110,91.8,93.7,82.7,78.6,140,23952.3,5871.4,182.9,234.5,3789.4,58.8,86.7,2974.9,55.3,22.9,372.1,6827.9,156,237.8,700.2,0,2789.3,0,0,2285.7,-672,48.7,62.1,6506.7,-46252.8
"TTL_C15T16: Food products, beverages and tobacco",,13438.3,45.5,59508.5,967.1,65.5,903.3,133.9,2156.2,212.6,86.8,81.1,87.1,107.7,204.5,47.2,201.7,51.6,96.8,44.3,268,3850.6,45332.5,196.7,46.2,124.3,165.7,11.3,24.4,460.6,9723.5,14684.5,5277.9,2267.4,0,285258.6,0.1,0,572.2,-917.9,2199.2,2040.6,25714.7,-21940.6
"TTL_C17T19: Textiles, textile products, leather and footwear",,552,53.7,386.8,31553.4,254.9,2648.8,71.4,1028.3,1568.1,190.2,97.4,115.1,427.6,184.8,60.9,5220.1,348.5,3397.3,22.9,1852.3,4839.3,1037.2,281.2,45.8,87.2,652.9,70.5,13.7,390.5,3407.2,161.6,1684.5,1376.5,0,122400.3,0.1,0,472.5,-586.9,2372.2,3089.7,10305,-47884.9
TTL_C20: Wood and products of wood and cork,,428.1,484.4,262.3,89.5,17380.4,4948.8,9.8,308.7,876.6,458.7,236.6,211.5,630.4,499.6,219.5,1472.5,117.8,7227.9,4.5,23809.5,1654.1,1902.1,875,211.2,68.9,10023.8,145.1,168.7,202.1,2228.5,100.3,498.1,550.9,0,2485.5,0,0,255.9,-259.6,14.9,6.7,4108,-8969.1
"TTL_C21T22: Pulp, paper, paper products, printing and publishing",,662,440.3,14769.7,2186.1,565.1,80260.2,232.4,8082.1,4002.3,1517.3,1325.7,1855.5,2263.8,3032.5,1256.7,2231.7,769.4,2985.1,628.8,4054.2,23546.3,8458.8,3797.7,1944.1,12913,4009.5,372.1,1337.9,20753.4,32346.7,3883,14177,7595.5,0,80639,9.5,934.8,26419.3,-903.7,34.6,123.7,24673.3,-19296.2
"TTL_C23: Coke, refined petroleum products and nuclear fuel",,2642.8,1146.9,755.9,384,206.9,1952.1,2460.2,4826.4,923.1,212.6,536.8,432.3,668.6,334.9,594,246.4,136.5,371,4197.5,10488.8,1606.2,715.1,25521.5,103.8,596.8,1006.8,48.6,66.1,2878.1,21496,286.1,1539.2,1698.4,0,52402.6,0.1,0,205.3,-775.8,763.5,1366.3,7134.2,-12228
TTL_C24: Chemicals and chemical products,,11750.5,1958.9,4723,11836.4,1202.9,11236.8,1156.7,75295.1,24167.1,1766.3,1259.6,3961.6,2763.4,4556.3,1916.3,3475.8,1122.5,4200.6,435.6,5010,2903.1,1045.2,1383.5,345.5,1308.1,7711.6,97.6,192.7,4746.3,11064.8,1131.3,30309,2731.7,0,90718.9,0.2,0,2577.8,-762,1293.3,1613.3,50763,-38352.1
TTL_C25: Rubber and plastics products,,1393.9,696.2,8701.2,969.9,648,3362.2,139.6,6916.6,10331.1,710.4,689.6,1763,4865.6,3458.9,1545.3,13137.4,2133.6,6925.1,31.3,14984,8567.9,4417.8,2776,1102.4,582.3,2052,190.2,121.9,2109.8,6169.7,887.8,4456.2,3047.3,0,18451.6,0,0,1045.7,-329.6,47.6,37.5,11497.6,-14728.5
