#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,TTL: Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,USA: United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TTL_C01T05: Agriculture, hunting, forestry and fishing",,60940.4,106.6,154436.8,994.7,8399.6,4712.3,17.4,4870.9,2028.8,7.4,7.3,8.8,7.5,5.1,12.5,19.9,4.6,454.5,6.4,1378.8,3414.3,5573.8,58.7,112.5,42.3,146,8.1,13.8,969.6,3011.3,628.6,481.5,372.1,0,79792.2,193,0,450.5,-8400.4,140,30.8,51468.2,-28370.7
TTL_C10T14: Mining and quarrying,,2995,61460.2,1987.8,97.8,54.5,3089.8,329846.5,18886.4,318.5,9262,28663.7,610.8,347.4,77.9,210.3,268.2,245.1,313,43894.3,16887.4,659.3,1064,7198.6,316.4,206.3,7286,347,123.6,2016,30424.2,681.6,968.2,2219.1,0,9579.9,0,0,9194.1,221.2,66.6,134.5,23981,-205443.5
"TTL_C15T16: Food products, beverages and tobacco",,16595.9,116.7,97303.4,422.1,65,1584.3,302.4,3571.2,332.3,71.7,86.8,101.9,99.2,78.1,41.2,172.2,69.9,100.4,53.1,275.4,4169.7,55418.2,478.9,113.1,208.2,238.3,33.7,80,1259.1,24404.2,18008.6,11017.7,3461.9,0,506492.6,0,0,723.9,393.3,4428.6,5169.2,52236.6,-60306
"TTL_C17T19: Textiles, textile products, leather and footwear",,213.7,45.4,209.7,5474,321,2937.9,88.1,719.6,1366.1,206.1,37.8,44.6,560.3,36,21.8,3086.2,372.7,2644,16.3,964.7,3823.3,636.7,135.3,362.9,58.6,109.8,71.1,30.3,510.5,2494.4,99.9,1913.4,1773.9,0,105023.9,0,0,302.3,5044,4989.4,8591.5,11900.1,-99896.2
TTL_C20: Wood and products of wood and cork,,536.6,129.2,339.5,44.5,12136.3,5426.9,17.8,300.1,783.7,229,285.1,185.6,462.8,206.4,193.8,1618.2,199.9,5323.3,5.1,22586.2,2584.4,3024.8,1154.1,499.6,98.5,3015,582.2,1396,887.8,2983.5,229.8,1050.5,555.7,0,4298.9,0,0,334.8,138.1,36.8,10.2,4792.5,-10787.5
"TTL_C21T22: Pulp, paper, paper products, printing and publishing",,602.1,1074.5,21307.3,678.6,586.4,102153.7,403.1,7009,4095.7,1460.4,1763.8,2694.2,2259.1,1543.4,1185.1,3012.5,1637.1,3333.5,658.2,4652.5,27635.7,10167.2,3773.9,3319.3,21143.6,5722.2,1511.5,5493.7,29964.8,39770.6,7056.9,18361.8,9702.4,0,130704.6,11.6,858.6,27652.9,-1560.7,72.3,165.7,66631.9,-27252.4
"TTL_C23: Coke, refined petroleum products and nuclear fuel",,12150,6537.6,2805,383.3,549.3,5054.4,8522.8,19883.7,2237.9,855.5,1749.3,1212.6,1440.8,415.8,1061.8,744,518.7,934.3,7129,44434.3,6521.2,4046.3,74461.8,467.2,2249.8,1643.2,589.8,436.6,5928.4,95986.9,2516.4,7650.8,5274.3,0,238092,0,0,433.3,-1248.3,2030.5,3409.9,71532,-74687.6
TTL_C24: Chemicals and chemical products,,11971.8,4975.5,5885.9,7378.2,1473.8,16565.5,3627.7,153492.1,36306.8,2981,1607,5379.8,3074.9,3362.9,2123.5,5042.1,1811.9,5603.9,1284.8,7785.2,5335.4,2456.2,1698.2,2087.8,2286.4,5863.2,365.5,1016.9,15442,19857,2164.4,40808.7,5735.4,0,221040.6,0.1,0,4826.7,5829.7,2777.8,3961.5,147305.2,-147253.8
TTL_C25: Rubber and plastics products,,1381.8,1268.1,14865.6,363.7,439.3,4046.3,184.3,7511.4,11372.7,853.5,725.3,1800.2,5308.2,1883,1266.7,15036,2602.7,6507.4,71.9,17071.5,13979.2,7151.6,3590.7,2251.4,1173.4,829.6,631.1,650,5453.6,9885.6,3318.4,10302.9,5251.7,0,33042.9,0,0,890.7,861.1,111.4,124.4,24423.2,-43168.5
