#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: Input-Output Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,TTL: Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,,USA: United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,,"US Dollar, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
TTL_C26: Other non-metallic mineral products,,63.2,816.8,3559.1,112.9,529.4,368.2,614,1235.8,855.3,7842.3,2044,799.1,1146.1,387.5,1036.2,3777.5,291.6,668,111.7,35044.6,1039.9,3633.6,137.1,803.8,129.4,652,128,899.6,3185.4,2885.2,392.8,2643.5,1008.4,0,10744.1,0,0,1290.9,-391.8,32,42,8511.6,-14373.1
TTL_C27: Basic metals,,166.4,4463,4339.1,236.7,327.4,651.2,930.1,809.7,1524.4,919.2,65142.3,57012.3,24419.8,5535.2,16097.2,30238.6,11026.5,9054.3,123.6,7190.6,2027.2,582.8,1386.4,424.5,55.2,1633.4,337.7,343.4,2645.8,1694.9,322.1,670.4,1547.6,0,2812.8,0.1,0,667.1,3211.5,62.1,45.5,35340.1,-78316.5
TTL_C28: Fabricated metal products,,1897.4,3278.9,12601.5,460.1,1727.1,7539.5,276.7,6536.3,4415.6,1925.2,5075.3,27055.4,19139.9,6685,6390.7,24821.4,10739.9,5750.6,241.7,52798.5,3548.6,7562.8,5015.9,7946.5,386.9,1724.9,640.8,2391.2,6690.7,12315.8,1461.4,2334.4,5433.3,0,19019.6,4.8,0,7225.2,259.8,147.9,90.8,30393.4,-38270.8
"TTL_C29: Machinery and equipment, nec",,5295,19051.4,4984.1,82.7,617.1,3899.3,315.3,4883.7,2402,592,2684.2,5487,42796.7,1239.5,2964.6,27403.5,7484.4,2481.1,1179.9,39106.3,5226.5,3266.3,3134.9,2010.7,599.7,2884,737.3,1727.8,10309.5,10037.6,12140.8,2546.4,11269.6,0,20186,0,0,29416.9,9298.2,1546.1,2403.5,117006.7,-129393.2
"TTL_C30T33X: Computer, Electronic and optical equipment",,151.3,615.4,2928.4,455.2,510.7,8961.8,317.4,4630.5,1696.4,966.3,1841.1,3523.9,6343.9,37958,3453.3,13048.7,16953,2974.9,322.2,8252.2,12508.9,2206.9,1218.2,38115,8676.2,2155.1,519.2,8062.3,24052.3,32067.7,3061.5,5969.6,6704.1,0,105606.6,0.6,0,120757.9,3593.5,2406.4,6521.7,175742.2,-343047.6
"TTL_C31: Electrical machinery and apparatus, nec",,439.9,175.2,964.4,51.1,383.3,677.9,70.6,866.9,602.2,140.8,1727.1,1676.6,7650.7,3107.3,6203.6,3195.3,2766.6,879.4,42.7,23130.2,1166.9,2172.6,690.8,2493.4,287.6,506.9,224.1,927.4,5417.3,5111,1879.1,965.6,2320.1,0,39432.9,0,0,24066.5,969.8,123.6,83.7,36324.7,-77026.1
"TTL_C34: Motor vehicles, trailers and semi-trailers",,647.7,1055,1915.1,74.2,316.8,1542.2,99.1,946.7,370.3,362.9,575.6,1158.1,6880.9,687.3,321.3,106790.3,3356.1,629.5,88,7104,12884.3,1109.7,6941.7,793.6,953.2,658.6,636.4,257.9,5425,13020.7,2587,1910.3,14873.1,0,188504.4,0,0,65557.6,16445.6,115.4,421.6,88986.6,-175815.6
TTL_C35: Other transport equipment,,115.9,296.5,417,47.2,62.4,503.4,75.1,473.9,112.1,60.7,132.9,290.4,660.3,240.5,111.2,710.7,39823.4,159.7,111.3,798.4,1838.2,608.9,4433.7,568,1467.4,1350,165,483.9,3397.4,19145,400.8,1243.5,783.9,0,14744.4,0,0,82056.3,5172.6,53.7,40.2,87661.2,-39777
TTL_C36T37: Manufacturing nec; recycling,,183.5,195.1,495.8,151.2,455.7,1346,195,841.4,302.9,198.5,6505.2,278.6,1258.5,320.5,234.4,1080.5,339.8,4606.1,93,4734.1,2615.4,1426.6,456.9,447.8,697.2,2398.7,141.2,595.9,2562.1,3912.9,714.7,18656,2327.8,0,112521.3,0,0,18832.1,5555.3,3656,6736.5,71424.1,-81655.6
"TTL_C40T41: Electricity, gas and water supply",,2416.7,2560.8,4568.6,332.3,594.5,4955.2,1317.4,7819.7,1363.8,1892.5,3407,2241.4,1019.1,583.7,471.9,1152.4,735.9,644.6,806.1,2025.1,10412.6,5951.5,2980.3,1605.6,1902,52025.9,270.8,708.7,4878,18205.2,19408.3,6722.4,4416.5,0,178438.3,1.6,1303.6,1486.7,-258.2,134.7,31.7,1538.7,-3057.3
TTL_C45: Construction,,2041.1,5401.4,1312.6,154.3,140.3,1044,3131.4,1105.2,324,275.8,672.5,534.5,365.8,346.3,208.7,339.5,259.3,206.9,3092.3,256.1,3086.4,1462.3,3599.4,2324.9,2779.7,123994.5,95,151.6,1444,57327.1,1071.1,1929,3864.1,0,283.7,0,0,723647.2,-1177,159.1,0,2955.6,-2594
TTL_C50T52: Wholesale and retail trade; repairs,,37285.7,23029.6,113335,9657.7,8225.8,44386,75949.5,69014.5,20195.4,8353.9,23076.2,18288.7,23649.5,17698,7865.4,45222.5,15589.8,16032.4,12141.7,63597,88039.9,42025,33915.6,25170.2,18506.9,14987.6,6108.3,9858.7,39683.4,89284.5,20802.7,51692.6,28340.5,0,1018733.1,8420.7,185.3,81928.2,15042.5,7360.4,9568.1,154314.6,-267571.5
TTL_C55: Hotels and restaurants,,274.5,437.7,2098.9,214.6,301.3,3331.1,182.2,908.9,723,424.5,678.9,1114.8,848.6,267.3,146,454.2,439.7,766.1,1038.8,1706.2,6558.5,4582.3,2103.9,2516.1,23505,6405.1,938.3,5851,19797.3,17651.7,4760.1,14090.2,4194.7,0,507645.3,1928.6,0,703.5,-10.9,36241.9,35224.1,1080,-37388.7
TTL_C60T63: Transport and storage,,7788.5,7544.6,24744.3,1406.2,2433.3,15495.9,9979.5,12485.2,3905.7,4419,9917.2,4659.5,4257,2302.5,1660.6,6905.1,3150.4,3768,7725.5,16624,80998.2,7395.3,70765.7,3390,19000.1,3662.6,1747.3,6797.1,25267.1,47925.1,6925.1,15634,11079.8,0,178034.5,116.4,0,9920.1,2367.1,36507.2,44140.7,88677.4,-79726.8
TTL_C64: Post and telecommunications,,416.3,1420.1,2880.2,428.1,344.7,5221.2,461,2894.1,811.9,505.1,701.5,1514.3,1334.2,1375.6,472.1,1026.4,1301.2,1283.8,686.6,5287.5,26111,6148.3,5238.6,102359.7,26259.1,14363.4,1860,8335,31289.3,40959.1,7252.5,18457.8,9360,0,349803.4,152.4,0,13368.7,-125.4,48.7,48.2,13257.1,-9858
TTL_C65T67: Financial intermediation,,10359.1,5604.5,6807.8,1317.2,562.6,9213.8,150.9,4101.6,1946.2,1434,4302.9,5283.5,4671.3,1608.7,1525.9,2584.3,2614.2,3499.6,6088.3,9630.9,65838.5,15970.8,28520.4,5525.9,694919.2,80204.1,10665.9,8729.6,71253.3,64407.2,11538.1,103628.6,44641.6,0,1008042.5,0,0,3350.6,-653.7,115,146,103507.7,-144173.5
TTL_C70: Real estate activities,,15210.5,407.2,734.7,142.8,119.5,3752.2,57.2,1976.4,266,123.9,164.8,605.6,419.3,1318.5,176.6,341.5,439.4,451.5,1148.4,4464.8,90757.8,26459.7,13135.8,10651.7,21939.5,86083.3,2727.8,8420.5,51806.1,37981.2,67251.8,86243.3,51607.3,0,1533162.5,6.1,0,7720.7,-116.4,5102.1,5352.5,3276,-6977.8
TTL_C71: Renting of machinery and equipment,,1344.7,3016.1,2338.5,185.4,138.8,3553.5,243.4,2872,478.4,343.7,527.9,1249.5,1104.1,889,379.1,785.3,937.3,801,380,6147.8,10657.8,3537.9,8439,3736,3823.5,1484.7,951.4,3626.8,14123.8,4415,3712.8,6565.2,4039.5,0,33688.9,64.5,1.6,90.5,-35.5,6794.2,6162,32674.9,-13488.8
TTL_C72: Computer and related activities,,474.7,1821.6,3474.8,494.7,545.2,8765.6,529.1,2393,1038.1,738,1024.1,2379.7,2717.7,1440.9,451.7,1053,2450.7,1522.7,1726.6,3477.6,19003.2,4313.8,3119.1,5173.5,41482.6,5752.8,4045.6,11623.2,40844,96751.4,8330.5,14475.5,7464.6,0,24106.7,20.5,995.5,76834.1,-319.1,64.5,27.4,13101.4,-25899.2
TTL_C73T74: R&D and other business activities,,2279,18520.6,35902.2,4765.8,3380.4,47867.2,5152.7,46558,7857.9,5154.9,8667.5,14885.7,12082,13648.1,5076.2,16342.9,17441.9,12244.6,10582.9,35239,199067.6,64163.5,32009.6,50190.4,146919.4,132267.9,15275.9,46782,224202,164058.7,32498.2,127904.7,56171.8,0,190131.8,82.1,6.4,288245.5,-1280.7,290.7,24.4,119282.9,-62209.4
TTL_C75: Public administration and defence; compulsory social security,,1514.7,1417.1,4386.6,341.3,410,4131.7,969.3,3977.4,777.8,737.5,1458.2,1229.9,995.1,652.1,446.1,993,831.8,785.9,909.2,2323.4,15800.1,5712.9,7024.8,3634.8,15842.3,18222,973.2,2508.9,12484.4,17868.9,7177.7,11240.3,6001.3,0,242505,16466,1809944.1,19049.1,-76,440.7,2858.1,9264,-2068
TTL_C80: Education,,221.3,849.3,1754.9,226.4,181,2427.6,292,2020.1,414.5,266.9,445.8,766.3,647.1,613,230.6,738.4,806.6,601.3,599.1,1694.7,10580.5,3066.5,1599.3,2498.5,9149.3,6210.9,814.8,2748,11890.4,14054.7,3680.4,6762.2,3791.1,0,133712.8,10508.8,761088.3,15856.3,-77.3,2912,5704.1,5301.8,-3274.9
TTL_C85: Health and social work,,217.4,234.1,664,55,51.2,443,324.1,488.8,126.4,60.9,131.8,159,166.5,124.7,55.3,235.4,133.8,123.2,98.5,536.5,1182.1,441.5,481.8,315.2,794.7,656.7,108.5,322,1416.2,10141.6,321.3,16535.6,452.6,0,1463174.9,175460.4,0,2789.1,-34.3,2545.4,642.7,2116.9,-2847.8
"TTL_C90T93: Other community, social and personal services",,636.2,1131.7,3792,460.2,371.4,3609.7,830.1,3642.2,883,638,1313,1416.9,938,671.4,421,854.1,798.7,773.5,888.4,5891.9,21398.6,9381.4,6319.2,37280.5,14371.8,13612.6,2169.5,3095.8,23384,35329.2,9332.5,21894.2,35562,0,535977.4,66261.7,1089.2,2206.4,-434.6,11820,10632.1,20668.6,-20123
TTL_C95: Private households with employed persons,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14610.7,0,0,0,0,0,0,0,0
TXS_INT_FNL: Taxes less subsidies on intermediate and final products,,-1960.6,788.3,-4794.8,255.7,145.6,617,1805.8,1445.6,383.5,253.1,449.2,388.2,518.5,187.3,148,775.3,181.3,330.8,1772.6,6425.1,518.2,556.1,10447.6,-40,-519.5,2692.2,13.9,20.9,339.8,7423.7,2297.7,581.8,754.8,0,503251.4,0,0,0,0,0,12241.9,0,0
TTL_INT_FNL: Total intermediate and final expenditure at purchasers' prices,,196867.2,179846,535345.6,37945.8,46900.6,329875.2,447279.4,401171.8,112619.2,54556.3,177592.2,166037.6,179590.7,107496.6,62664.3,319869.3,148355.8,96253.9,105118.3,459522.6,760989.4,313277.9,345666,319466.2,1081395.5,601443,56436.3,144510.1,700220.2,1052792.9,264025.5,633852.9,352356.8,0,9756942.4,279700,2575472.6,1641876.6,58203,133333.2,170787,1676678.7,-2356100.2
VALU: Value added at basic prices,,151689.4,230914.1,214127.4,29395.5,20995,213143.1,118675.2,224167.5,62694.8,30141.4,40109.2,109643.2,111714.3,225306,40225.4,61319.1,82684.2,101585.1,244898,488093,1388002,361457.4,386130.2,375588.8,1178089.4,1533469.3,106345,245321.2,1449514.8,1199370.1,760350,1047593.9,538833.7,14610.7,0,0,0,0,0,0,0,0,0
OUTPUT: Output,,348556.6,410760.2,749473,67341.3,67895.6,543018.3,565954.6,625339.3,175314.1,84697.7,217701.3,275680.7,291305.1,332802.6,102889.7,381188.4,231040.1,197839,350016.3,947615.6,2148991.3,674735.4,731796.1,695055,2259484.9,2134912.4,162781.4,389831.4,2149735,2252163,1024375.5,1681446.8,891190.5,14610.7,0,0,0,0,0,0,0,0,0
Data extracted on 12 Oct 2018 07:57 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
