Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTL_C27: Basic metals,,138.7,1925.1,3640.2,239.1,200.5,703.1,162.3,698.5,1247.8,614.3,33802.4,39523.5,17822.2,6919.2,13537.8,25660.9,4751.6,6174.3,62.7,3442.2,1207.9,342.2,538.9,241.4,61.4,1002.6,126.2,157.2,990.8,521.3,232,330.8,529.2,0,4093.4,0,0,564.3,840.2,21.2,21.2,13680.6,-39462.8
TTL_C28: Fabricated metal products,,1017.5,2433.7,9368.1,1376.7,2061.1,8148.5,163.1,6950.1,5193.6,1995.9,4621.9,22582,17436.6,13704.8,8860,24488.5,6950.4,5872,165.3,51726.6,3956.8,4660.9,5514.3,4023.7,380.9,2087.1,297.9,1409.5,3266.7,6021.3,951.6,1222.7,2557.5,0,12900.7,1.8,0,9573,3036.4,66.1,52.9,20069.2,-25466.1
"TTL_C29: Machinery and equipment, nec",,3479.2,9510.7,2625.5,338.2,669.4,5199.8,189.8,4579.8,3022.2,563.4,2346.3,5238.1,37989.3,2586.8,4282.4,23607.6,5255.9,1720.5,1951.9,37393.2,3589,1879.2,2404.4,939.7,477.3,3585.7,393.5,1664.2,4151.3,6181.2,5968.6,1273,5968.4,0,20035.6,0.1,0,59446.3,7410.6,918.7,1198.3,71362.1,-78732.4
"TTL_C30T33X: Computer, Electronic and optical equipment",,247.1,322.3,3244.1,2096.9,961.4,10810.5,267.7,6081.6,2779.1,1599.8,2243.8,5129.2,8940.8,150209.9,6126.7,18441.3,10712.2,4144.5,628.3,7908,14205.1,2490.1,1255.8,14133.2,5821.4,1700.3,186.2,6492.8,14207.5,16141.6,3018,4674,6657.1,0,75378.1,2.8,0,123302.2,15894.5,1637.2,2759.7,176350.7,-248627.3
"TTL_C31: Electrical machinery and apparatus, nec",,510.9,153,763,224.2,460.6,614.7,72.4,994.7,858.2,148.1,1600.5,2214.1,7504.7,6696.8,8087.3,3798.6,1454.9,752.4,67.7,24615.9,1878,1895.8,629,2260.9,387.2,828.3,95,1374.4,3522.9,3086.5,1147.7,564.3,1751.1,0,29403.3,0,0,29468.2,2141.9,62.1,55.9,23776.9,-50309.7
"TTL_C34: Motor vehicles, trailers and semi-trailers",,949.5,962.2,2259.9,329.5,670.8,2686.9,77.6,1493.8,597,640.7,646.1,1669.8,9336.5,3207.2,580.9,122689.7,4182.8,920.8,194.3,11124.4,14765.8,947.5,12952.4,744.5,1821.6,732.4,581.1,377.7,4600.9,7200.4,812.7,1376.8,12269.7,0,242577.8,0,0,49172.8,13052.4,61.8,207,69247.6,-155671.7
TTL_C35: Other transport equipment,,150.5,180.8,286.6,95.2,58.6,456.9,23.9,382.8,133.8,45.9,84.6,227.7,772.7,512.6,143.9,596.1,24319,114.4,229.9,903.3,1137.2,271.1,3184.1,345.9,915.5,678.9,56.6,324.3,1475.1,9889.7,213,635.5,588.8,0,15065.7,0,0,70489.8,-12261.1,18.4,26.2,58539.9,-33159.1
TTL_C36T37: Manufacturing nec; recycling,,221.8,227.2,429.6,539.4,814.2,1990.8,104.4,851.8,543.6,428.7,5914.3,442.5,1595.8,947.9,443,1586,245.4,5099.4,190.4,8471.8,3043.9,1320.4,1695.2,374.1,764.3,2323.3,65.6,393.8,1888.4,2950.5,1382.8,11413.7,2248.7,0,113966.7,0,0,20790.3,5309.7,2602.3,3537.4,27921,-54335.5
"TTL_C40T41: Electricity, gas and water supply",,4489.2,5867.1,6982.2,2101.9,1617.2,6871.7,1288.8,9453.1,3440,2618.9,5263.6,3262.5,1709.8,3365.5,1007,2004.1,704.2,1297.2,2506.5,3710.8,17560,10025.7,3032.1,3814.8,3689.5,37868.3,758.7,1070.9,6063.1,14370.9,21725.1,8416.2,5737.9,0,131449.1,0.1,756.4,1579,-231.8,59.6,90,1251.7,-2685.1
TTL_C45: Construction,,1297.6,1921.1,1624,344,496.5,1681.6,250.3,1943.8,833.6,602.4,1102.6,1001.2,659.1,1398.7,303.5,595.3,210.8,485.6,4373.5,716.4,3759.4,2408.7,3466.1,3516.9,4952.2,44672.7,227.6,258.8,4218.9,30315.3,1589.4,1504,3050.7,0,148.1,0,0,767195.3,-971.2,82.9,0,2026.5,-1861.3
