Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTL_C27: Basic metals,,16.1,22,723.4,10.3,136.7,189.7,1398.7,2624.6,940.6,1455.7,275106.5,37278.9,34121.7,24903.6,12744.9,23694.3,6758.4,2161.5,772.8,22220.5,487.6,228.8,329.3,4.8,6.4,1,0.5,23.6,21.5,141.6,1.1,1579.8,121.2,0,776.7,0,0,1024,-3250.2,6.6,0,66823.4,-37232.1
TTL_C28: Fabricated metal products,,180.6,190.8,8525.8,102.8,394.3,155,243.1,3220.7,3993.3,929.8,800.5,7872.7,12265.6,6567.4,3111.6,2952.6,1482.4,1096,355.3,61012.2,4537.3,989.2,1077.3,132.3,65.3,229.5,71,60.5,153.7,2558.1,44.3,261.4,780.5,0,4440.4,0,6.1,2872.2,-496.8,12.4,0,7594.3,-10263.9
"TTL_C29: Machinery and equipment, nec",,15.6,37.7,81.9,5.1,18.1,26,213.3,160.2,17.9,277.8,518,309.7,58990,2701.8,1669.3,3013.9,1727.6,384.3,171.4,4015.5,18690.4,51.7,116,54.1,144.3,15.6,161.5,18.3,211.6,633,5.8,142,407.1,0,553.8,0,0.2,174415.6,3044.2,276.7,71.1,99466.7,-30273.2
"TTL_C30T33X: Computer, Electronic and optical equipment",,135.1,31.1,501.2,58.4,39.2,345.5,324.4,693.6,281.6,159.6,959.9,668.4,10442.9,81647,5018,6793.9,1028.9,465.4,548,5417.4,16620.3,704.7,991.5,1402.4,1048.5,192.8,71.6,729.1,1424.1,3866.4,178.5,6675.5,1200.2,0,91978.3,0,0.3,89555.2,-4280.1,459.4,136.9,133844.8,-94758.7
"TTL_C31: Electrical machinery and apparatus, nec",,29.4,2.6,16.1,1.6,6.6,4.2,19.8,43.2,8,4.7,237.7,200.2,11684.3,4899.7,21034.3,12980.2,897.6,17.9,9,3018,6277.7,6.3,13.5,2.9,4.5,1,0.7,2.4,7.1,12.4,1.5,15.1,4.9,0,540.1,0,0.1,44923.9,2117.3,11.3,1.1,25248.6,-18060
"TTL_C34: Motor vehicles, trailers and semi-trailers",,5.7,0.9,52.3,3.2,11,8,10.4,37.1,50.6,5,514.7,5.2,415.2,190,52.2,210691.4,1476.7,13.9,10.2,47.4,24365.5,10.8,143.8,4.3,8.9,2.7,1.5,4.4,14,610.1,3.6,22.6,10.7,0,95393.4,0,0.2,74844.9,-2626.9,8.8,0,119212.9,-14357.8
TTL_C35: Other transport equipment,,562.5,0.3,5.4,0.5,1.9,2.2,6.8,16.7,61.8,1.1,7.4,28.3,220,46.1,5.3,41.9,4030.8,4.6,6.1,14.9,345,3.1,4767.7,4,8.4,2.6,0.8,4.2,12.5,4878.2,10.1,8.5,21.8,0,917,0,0.1,10980.5,680.9,5.9,0,33268.8,-8283.6
TTL_C36T37: Manufacturing nec; recycling,,498.7,19.2,3344.7,327.2,114.2,1813,71.2,2286,2154.5,320.9,552.5,213.4,1450.4,4455.3,851.8,3398.6,352.3,5666.5,1023.2,5928.6,3263.9,971.6,708.1,399,1031.3,260.2,366.4,823.2,2376.4,4174.4,746.8,1215.1,1874.3,0,12355.7,0,59,7035.4,393,729.1,262.3,11920.2,-15812.3
"TTL_C40T41: Electricity, gas and water supply",,1703.4,460.7,8771.3,810.6,437.9,4309.4,3691.6,12219.5,3359.9,3452.2,17608.7,3100.9,4316.2,7594,1166.8,4791.8,1240.3,1879.8,25347.3,4878.4,25640.9,20289.2,12597.2,4708.1,2222,3792.2,181.9,1139.5,3397.6,16766.3,7550.1,12748.4,11528.9,0,133700.1,0.1,0.1,33.6,703.2,5.1,0,0,-449.3
TTL_C45: Construction,,644.4,44.1,715.3,107.1,66.1,606.2,413.4,2059.2,324.5,1003.6,2730.6,945.5,868.3,1377.9,458.8,412.4,282.1,318.1,17596.6,1259.9,6201.1,1204.8,5558,1720.8,1593.4,32822.4,170.6,301.5,1503.2,10460.8,5027.8,2817.1,3512.1,0,34.1,0,0.1,573563,1943.9,2.4,0,2421.6,-6241.1
