Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTL_C27: Basic metals,,319.1,246.7,110.5,25.3,6.6,50.1,218.9,441.6,168.8,269.1,9097.3,6939.2,4384.4,744.4,1512.6,5209.3,1675.5,956.3,869.7,1102.2,388,33,135.4,160.3,87.5,8.6,10.3,41.9,104.8,67.6,38.6,109,59.7,0,1159.6,1.4,1.3,293.4,957.1,21.6,74,20538,-30381.6
TTL_C28: Fabricated metal products,,317.1,1050.4,1872.6,111.4,257.5,178.7,261.6,608.7,846.2,414.6,566.3,4887.4,5176,943.4,1092.1,4405,4418.2,689.3,535.2,6340.3,847.9,52.2,238.7,94.4,136.8,73.1,24.1,57.5,201.4,2937.3,237.8,289.7,191.1,0,5003.5,1.9,0.6,5223,1807.3,86.6,17.1,6728.1,-13351.1
"TTL_C29: Machinery and equipment, nec",,211,577.1,1303.1,134.9,182.7,916.3,205.7,585.2,301.2,335.1,998.5,749.1,6158.8,851.5,844.5,3387.7,1762.9,614.7,1140.6,2750.2,2024.9,134,484,400.7,351.5,140.6,117.5,211.9,554.9,732.9,178.5,416.7,581.6,0,6088.9,2.5,0.2,20600.8,767.6,697.6,978.7,42182.3,-44085.1
"TTL_C30T33X: Computer, Electronic and optical equipment",,98.5,78.3,202.6,50.9,32.5,143.7,22,470.7,72.7,52.8,269.8,223.4,675.9,7633.3,929.6,1108,690,935.8,482.6,734.1,767.9,200.7,378.8,4260.7,354.6,104.2,71.1,684.5,653,6492.2,1043,6443.4,640.6,0,15940.7,4,0.5,11620,821.6,992.9,2862.8,43053.7,-68438.3
"TTL_C31: Electrical machinery and apparatus, nec",,138,139.9,71,11.7,12.5,42.1,9.9,54.2,37.4,22.5,57.4,125.4,958.5,1209.9,1706.4,1210.7,339.4,702.6,2085.8,2461.3,881.5,27.7,549.4,898.8,193,64.3,286.7,269.8,278.6,848.7,245.6,215.2,360.1,0,4704.9,0.7,0.1,4737.2,477.5,87.1,107.9,15636.5,-20876.5
"TTL_C34: Motor vehicles, trailers and semi-trailers",,181.3,115.6,386.6,66.7,47.7,171.2,21.7,254.5,142.3,106.2,177,168.8,1049.4,256.2,245.9,12652.9,349,303,165.6,557.1,6268.9,216.3,1317.9,460,405.3,104.6,1060.1,277.6,1178.4,760.7,242.5,618.9,409.3,0,45061.7,2.9,0.1,10717.6,1595.1,42.9,84.2,38146.8,-54237.8
TTL_C35: Other transport equipment,,38.8,124.2,74.8,10.9,7.8,50,8.5,57.6,19,13.2,17.8,55.4,75.1,51,23.4,90.2,6729.1,190.4,36.9,197.4,319,67.2,792.5,92.5,228.1,29.6,25.7,106.2,402.4,6078.8,66.6,426.6,133.9,0,8025,5.4,0.1,11317.8,579.3,47,139.6,37719.2,-25025.3
TTL_C36T37: Manufacturing nec; recycling,,172.4,383.1,338.3,79.9,88.6,677.9,50.4,402.5,173,115.2,105.8,247.3,1572,282.1,296,1087.3,2452.9,1282.2,411.9,1875.6,807.9,143.2,860.6,493.9,330.4,41.3,43.3,185,561,408.4,436.8,385.1,318.1,0,15165.4,1.1,0.2,2650.6,175.7,1564.5,910.3,8660.9,-18256.3
"TTL_C40T41: Electricity, gas and water supply",,1062.8,1497,4055.1,475,289.3,2364,1359.4,2979,1149.9,2418,1539.9,1201.1,1299.8,514.3,387.5,1037.5,1024.9,410.7,55801.5,1794.8,4851,1081,1922.2,958.7,2042.6,1399.2,333.7,808.6,2503.5,2105.2,1854.5,2904.4,1548.4,0,50568.3,21.7,8.1,1130.8,160.3,25.7,93.5,1875.1,-1909.5
TTL_C45: Construction,,1067.6,1742.6,457.6,127.5,107,544.9,353.3,553.2,178.4,183.3,125.1,191.6,296.1,18.6,57,238.9,606.1,280,1843.9,69732.9,21967.5,1540.5,3865.2,2078.3,4047.4,22263.7,185.8,539.2,2321.4,6418.5,1001.9,1329.8,1877.3,0,11851.5,3.8,1,155090.6,-1666.6,25,37.4,2415.5,-1985.4
